"keyword","avg_monthly","chg_3m","yoy","competition","comp_index","bid_low","bid_high"
"la pharmacie de garde","480","23%","23%","Low","4","0.55","3.00"
"pharmacie centre ville","480","-45%","23%","Low","3","",""
"pharmacie de garde a proximite","480","0%","23%","Low","14","1.12","2.78"
"parapharmacie france","480","0%","-19%","Medium","61","0.55","4.39"
"ma parapharmacie","480","23%","-33%","Medium","50","0.24","1.87"
"pharmacie horaire","480","0%","0%","Low","2","",""
"pharmaceutique france","480","0%","-19%","Medium","61","0.55","4.39"
"pharmacie france","480","0%","-19%","Medium","61","0.55","4.39"
"pharmacie a vendre","390","84%","51%","Low","0","",""
"gel lavant topialyse","390","23%","23%","Low","5","0.66","2.69"
"parapharmacie khouribga","390","0%","22%","Low","7","0.30","1.88"
"pharmacies a vendre","390","84%","51%","Low","0","",""
"topialyse gel lavant","390","23%","23%","Low","5","0.66","2.69"
"nutrimax spiruline","390","-18%","-18%","Low","1","",""
"para marrakech","390","23%","0%","Medium","38","0.47","2.05"
"pharmacie de permanence","390","0%","23%","Low","4","1.04","1.55"
"filorga ecran","390","-18%","-56%","Low","4","0.79","1.85"
"spiruline au maroc","320","-33%","-19%","Low","3","0.93","5.03"
"parapharmacie maarif","320","22%","0%","Low","22","0.66","2.51"
"parapharmacie mapara","320","0%","50%","Low","4","",""
"vichy creme hydratante","320","-18%","0%","Low","6","0.21","1.36"
"vichy creme hydratant","320","-18%","0%","Low","6","0.21","1.36"
"spiruline maroc","320","-33%","-19%","Low","3","0.93","5.03"
"eucerin sérum duo","320","22%","0%","Low","7","0.66","2.63"
"svr topialyse gel lavant","320","23%","85%","Low","3","0.43","2.76"
"aide pharmacien","320","0%","-56%","Low","0","",""
"parapharmacie settat","320","0%","22%","Low","6","0.23","2.01"
"conseil pharmaceutique","320","-34%","50%","Low","1","",""
"laboratoire parapharmacie","320","-34%","-56%","Low","3","",""
"conseil en pharmacie","320","-34%","50%","Low","1","",""
"vita parapharmacie","320","-18%","0%","Low","14","0.31","2.01"
"pharmacie conseil","320","-34%","50%","Low","1","",""
"pharmacie de garde la nuit","320","-18%","0%","Low","8","1.30","2.94"
"permanence pharmacie rabat","320","0%","22%","Low","1","",""
"uriage bariederm cica","320","23%","182%","Low","2","1.01","8.11"
"pharmacie garde de nuit","320","-18%","0%","Low","8","1.30","2.94"
"retacnyl maroc","320","-18%","0%","Low","1","",""
"pharmacie de garde nuit","320","-18%","0%","Low","8","1.30","2.94"
"pharmacie de garde de nuit","320","-18%","0%","Low","8","1.30","2.94"
"pharmacie livraison","320","22%","22%","Low","30","1.14","2.81"
"vita pharmacie","320","-18%","0%","Low","14","0.31","2.01"
"grossiste parapharmacie","260","-19%","-19%","Low","3","",""
"livraison pharmacie","260","-18%","88%","Low","20","1.18","2.95"
"pharmacie la garde","260","0%","0%","Low","5","1.33","3.14"
"pharmacies casablanca","260","22%","179%","Low","9","1.01","2.75"
"pharmacie de garde la plus proche","260","0%","-19%","Low","13","0.80","2.35"
"les pharmacies de garde","260","0%","0%","Low","5","1.78","2.93"
"svr huile lavante","260","85%","129%","Low","6","0.22","1.28"
